shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot,shortNm,LongNms,Campus,X2006,X2007,X2008,X2009,X2010,X2011,X2012,X2013,X2014,X2015,X2016,X2017,X2018,Apr2019Tot,N_ppl_atL1M07.18,surveyRepsPot,AtLstOncePerPot
a0,region 0,De Anza College,27,21,22,15,21,23,19,16,16,14,18,15,11,238,58,81,0.716,a0,region 0,Evergreen Valley C.,7,9,9,5,5,8,5,1,4,4,8,10,7,82,22,36,0.611,a0,region 0,Foothill College,13,9,11,1,9,0,12,11,0,1,3,6,5,81,27,23,0.964,a0,region 0,Mission College,9,11,8,8,10,10,13,11,12,10,15,11,7,135,24,35,0.686,a0,region 0,San Jose City College,8,12,13,7,7,6,6,4,4,6,5,1,4,83,24,35,0.686,a0,region 0,West Valley College,8,9,7,6,8,9,7,8,6,5,5,6,3,87,18,31,0.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a1,region 1,Butte College,1,0,1,2,1,1,1,1,0,1,2,4,5,20,8,43,0.186,a1,region 1,Mendocino College,0,1,1,1,1,1,1,1,2,2,4,3,3,21,7,25,0.28,a1,region 1,Napa Valley College,0,5,3,3,2,1,2,2,4,7,4,3,6,42,13,25,0.52,a1,region 1,Santa Rosa Junior C.,20,18,15,15,17,10,15,18,14,12,12,13,15,194,39,57,0.684,a1,region 1,Solano Community C.,7,8,7,10,9,8,5,9,8,4,7,7,6,95,23,26,0.885,a1,region 1,Yuba College,5,4,4,6,6,4,3,5,7,4,5,4,3,60,21,32,0.656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a2,region 2,Chabot College,11,13,11,11,10,7,3,3,4,6,10,6,7,102,26,36,0.722,a2,region 2,Contra Costa College,3,4,3,3,3,3,3,2,2,3,0,0,0,29,4,31,0.129,a2,region 2,Diablo Valley College,10,14,10,6,5,6,5,6,9,4,15,2,3,95,32,67,0.478,a2,region 2,Las Positas College,12,6,13,12,7,6,8,11,9,11,12,11,8,126,30,56,0.536,a2,region 2,Los Medanos College,1,0,3,2,1,1,4,3,0,1,1,1,1,19,11,40,0.275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a3,region 3,Canada College,4,1,3,5,6,2,3,4,2,2,3,3,1,39,8,19,0.421,a3,region 3,City C. of San Francisco,9,7,10,6,7,10,10,10,8,14,15,19,15,140,32,63,0.508,a3,region 3,College of Marin,6,3,1,2,1,2,1,2,0,1,1,1,0,21,6,28,0.214,a3,region 3,College of San Mateo,6,8,8,8,7,6,6,6,11,8,7,7,7,95,19,39,0.487,a3,region 3,Skyline College,4,4,4,1,0,0,1,0,3,0,1,1,2,21,7,32,0.219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a4,region 4,Allan Hancock College,9,1,2,1,2,1,0,4,1,1,3,0,1,26,10,42,0.238,a4,region 4,Cabrillo College,4,3,9,8,6,7,7,4,5,7,4,5,3,72,29,48,0.604,a4,region 4,Cuesta College,11,10,10,1,6,10,7,9,6,7,11,5,1,94,24,42,0.571,a4,region 4,Gavilan College,0,3,4,2,2,0,0,1,0,1,3,3,3,22,10,25,0.4,a4,region 4,Hartnell College,0,0,1,0,2,1,2,2,1,4,6,4,1,24,8,28,0.286,a4,region 4,Monterey Peninsula C.,5,7,6,5,4,4,3,5,5,4,5,7,4,64,11,29,0.379,a4,region 4,Santa Barbara City C.,2,1,2,5,7,4,3,4,5,9,5,5,5,57,15,52,0.288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a5,region 5,Berkeley City College,1,1,0,0,3,2,0,2,5,2,2,2,2,22,6,25,0.24,a5,region 5,College of Alameda,0,1,2,2,1,0,2,1,2,2,7,6,7,33,13,13,0.929,a5,region 5,Laney College,4,3,3,2,0,2,3,4,4,3,4,2,3,37,11,36,0.306,a5,region 5,Merritt College,1,0,0,0,0,0,0,0,2,1,1,0,0,5,3,13,0.231,a5,region 5,Ohlone College,7,5,11,6,3,3,3,4,2,3,2,0,2,51,22,49,0.449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a6,region 6,American River C.,4,14,4,9,7,5,5,5,6,5,6,1,0,71,28,76,0.368,a6,region 6,Cosumnes River C.,2,10,4,5,1,3,4,4,2,2,1,0,0,38,16,44,0.364,a6,region 6,Folsom Lake College,1,0,0,1,1,1,0,2,1,1,1,1,1,11,4,23,0.174,a6,region 6,Lake Tahoe CC,4,4,3,4,2,1,3,1,3,4,2,2,3,36,6,11,0.545,a6,region 6,Sacramento City C.,11,12,15,7,9,8,10,6,6,9,9,6,3,111,31,68,0.456,a6,region 6,Sierra College,3,7,7,6,7,5,9,6,7,9,10,6,4,86,27,82,0.329,a6,region 6,Woodland CC,1,1,3,2,3,3,3,2,2,2,2,3,3,30,7,14,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a7,region 7,Clovis Community C.,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2,21,0.095,a7,region 7,Columbia College,1,0,5,3,0,0,0,3,4,0,0,0,0,16,7,9,0.778,a7,region 7,Fresno City College,3,3,2,1,1,3,2,1,5,6,4,2,4,37,10,53,0.189,a7,region 7,Merced College,1,0,0,0,0,0,0,1,0,2,2,0,1,7,4,44,0.091,a7,region 7,Modesto Junior College,7,6,8,7,3,13,13,11,17,14,6,6,7,118,27,33,0.818,a7,region 7,Reedley College,0,0,0,0,0,0,0,0,0,1,2,0,0,3,3,19,0.158,a7,region 7,San Joaquin Delta C.,3,5,3,2,2,1,1,1,2,2,3,2,1,28,13,35,0.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a8,region 8,Bakersfield College,0,4,5,4,6,3,1,3,4,4,4,4,4,46,13,44,0.295,a8,region 8,College of the Sequioas,6,7,4,5,6,5,9,9,6,5,4,5,4,75,11,31,0.355,a8,region 8,Porterville College,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,7,0.143,a8,region 8,Taft College,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,12,0.167,a8,region 8,West Hills College (any),4,1,1,0,0,1,1,0,0,0,2,1,1,12,4,30,0.133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a9,region 9,College of the Siskiyous,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,10,0.1,a9,region 9,College of the Redwoods,3,1,0,1,0,0,2,0,1,0,1,1,0,10,4,28,0.143,a9,region 9,Feather River College,1,1,0,0,0,1,0,0,0,1,1,0,0,5,2,5,0.4,a9,region 9,Lassen College,0,0,0,1,0,0,0,0,0,1,0,0,0,2,1,9,0.111,a9,region 9,Shasta College,3,1,1,1,0,0,0,0,0,2,0,0,0,8,3,24,0.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
